Time_Taken,Sensor 1,Sensor 2,Sensor 3,Sensor 4,Sensor 5
2711,0.600000024,0.441000015,0.716000021,0.953999996,0.689999998
2713,0.600000024,0.437999994,0.716000021,0.953999996,0.689999998
2715,0.600000024,0.437999994,0.716000021,0.953999996,0.689999998
2716,0.600000024,0.437999994,0.716000021,0.950999975,0.680000007
2720,0.600000024,0.437999994,0.716000021,0.950999975,0.680000007
2724,0.600000024,0.437999994,0.716000021,0.950999975,0.680000007
2726,0.600000024,0.437999994,0.716000021,0.950999975,0.680000007
2729,0.600000024,0.437999994,0.716000021,0.950999975,0.689999998
2731,0.600000024,0.437999994,0.716000021,0.950999975,0.689999998
2733,0.600000024,0.437999994,0.712000012,0.950999975,0.689999998
2736,0.600000024,0.437999994,0.712000012,0.950999975,0.689999998
2739,0.600000024,0.435000002,0.712000012,0.950999975,0.689999998
2741,0.600000024,0.437999994,0.712000012,0.948000014,0.689999998
2743,0.600000024,0.437999994,0.712000012,0.948000014,0.689999998
2745,0.600000024,0.437999994,0.712000012,0.948000014,0.689999998
2747,0.600000024,0.437999994,0.712000012,0.948000014,0.689999998
2749,0.596000016,0.437999994,0.708999991,0.948000014,0.689999998
2751,0.600000024,0.437999994,0.712000012,0.950999975,0.689999998
2753,0.596000016,0.437999994,0.712000012,0.948000014,0.686999977
2755,0.600000024,0.437999994,0.712000012,0.948000014,0.689999998
2757,0.600000024,0.437999994,0.712000012,0.948000014,0.689999998
2759,0.596000016,0.437999994,0.712000012,0.948000014,0.689999998
2761,0.600000024,0.437999994,0.712000012,0.948000014,0.689999998
2763,0.600000024,0.437999994,0.712000012,0.948000014,0.689999998
2765,0.600000024,0.437999994,0.708999991,0.948000014,0.686999977
2767,0.596000016,0.437999994,0.712000012,0.948000014,0.676999986
2769,0.596000016,0.437999994,0.712000012,0.948000014,0.686999977
2771,0.596000016,0.437999994,0.708999991,0.948000014,0.676999986
2775,0.596000016,0.437999994,0.708999991,0.944999993,0.686999977
2777,0.596000016,0.437999994,0.708999991,0.948000014,0.686999977
2779,0.596000016,0.435000002,0.708999991,0.948000014,0.686999977
2781,0.596000016,0.437999994,0.708999991,0.948000014,0.686999977
2786,0.596000016,0.437999994,0.708999991,0.944999993,0.686999977
2791,0.596000016,0.437999994,0.708999991,0.944999993,0.683000028
2794,0.596000016,0.437999994,0.708999991,0.944999993,0.686999977
2800,0.592999995,0.437999994,0.708999991,0.944999993,0.683000028
